timestamp,src_ip,dst_ip,protocol,packet_length
1773499555.5860827,192.168.29.75,20.189.173.23,TCP,66
1773499555.8084333,20.189.173.23,192.168.29.75,TCP,66
1773499555.8091848,192.168.29.75,20.189.173.23,TCP,54
1773499555.810005,192.168.29.75,20.189.173.23,TCP,571
1773499556.0343616,20.189.173.23,192.168.29.75,TCP,153
1773499556.035151,192.168.29.75,20.189.173.23,TCP,491
1773499556.2731347,20.189.173.23,192.168.29.75,TCP,2974
1773499556.274459,192.168.29.75,20.189.173.23,TCP,54
1773499556.2761045,20.189.173.23,192.168.29.75,TCP,1514
1773499556.2769392,20.189.173.23,192.168.29.75,TCP,166
1773499556.2776277,192.168.29.75,20.189.173.23,TCP,54
1773499556.2785099,192.168.29.75,20.189.173.23,TCP,1494
1773499556.2791734,192.168.29.75,20.189.173.23,TCP,562
1773499556.5245836,20.189.173.23,192.168.29.75,TCP,54
1773499556.5263624,20.189.173.23,192.168.29.75,TCP,157
1773499556.5371008,20.189.173.23,192.168.29.75,TCP,519
1773499556.537796,192.168.29.75,20.189.173.23,TCP,54
1773499556.5386155,192.168.29.75,20.189.173.23,TCP,78
1773499556.5391424,192.168.29.75,20.189.173.23,TCP,54
1773499556.7340982,192.168.29.170,192.168.29.255,UDP,86
1773499556.761769,20.189.173.23,192.168.29.75,TCP,54
1773499558.7669642,192.168.29.170,192.168.29.255,UDP,86
1773499560.8112795,192.168.29.170,192.168.29.255,UDP,86
1773499562.7820292,192.168.29.170,224.0.0.251,UDP,506
1773499563.2580652,192.168.29.170,192.168.29.255,UDP,86
1773499563.263194,192.168.29.170,239.255.255.250,UDP,326
1773499563.3002055,192.168.29.170,239.255.255.250,UDP,335
1773499563.3466287,192.168.29.170,239.255.255.250,UDP,382
1773499563.3962922,192.168.29.170,239.255.255.250,UDP,390
1773499563.397099,192.168.29.75,20.42.65.94,TCP,66
1773499563.4186513,192.168.29.170,239.255.255.250,UDP,392
1773499563.4847276,192.168.29.170,239.255.255.250,UDP,380
1773499563.499793,192.168.29.170,239.255.255.250,UDP,326
1773499563.5552092,192.168.29.170,239.255.255.250,UDP,335
1773499563.5873885,192.168.29.170,239.255.255.250,UDP,382
1773499563.62344,192.168.29.170,239.255.255.250,UDP,390
1773499563.6291122,20.42.65.94,192.168.29.75,TCP,66
1773499563.6295996,192.168.29.75,20.42.65.94,TCP,54
1773499563.6299858,192.168.29.75,20.42.65.94,TCP,1494
1773499563.6302812,192.168.29.75,20.42.65.94,TCP,547
1773499563.6663258,192.168.29.170,239.255.255.250,UDP,392
1773499563.713378,192.168.29.170,239.255.255.250,UDP,380
1773499563.7603955,192.168.29.170,239.255.255.250,UDP,326
1773499563.7939136,192.168.29.170,239.255.255.250,UDP,335
1773499563.84241,192.168.29.170,239.255.255.250,UDP,382
1773499563.8666105,20.42.65.94,192.168.29.75,TCP,54
1773499563.8674967,20.42.65.94,192.168.29.75,TCP,153
1773499563.8689127,192.168.29.75,20.42.65.94,TCP,833
1773499563.8799872,192.168.29.170,239.255.255.250,UDP,390
1773499563.9152348,192.168.29.170,239.255.255.250,UDP,392
1773499563.9749427,192.168.29.170,239.255.255.250,UDP,380
1773499563.9974375,192.168.29.170,239.255.255.250,UDP,326
1773499564.042412,192.168.29.170,239.255.255.250,UDP,335
1773499564.0916646,192.168.29.170,239.255.255.250,UDP,382
1773499564.1117978,20.42.65.94,192.168.29.75,TCP,2974
1773499564.1121337,192.168.29.75,20.42.65.94,TCP,54
1773499564.1126318,20.42.65.94,192.168.29.75,TCP,2974
1773499564.1129797,20.42.65.94,192.168.29.75,TCP,581
1773499564.1132362,192.168.29.75,20.42.65.94,TCP,54
1773499564.1135907,192.168.29.75,20.42.65.94,TCP,128
1773499564.1139028,192.168.29.75,20.42.65.94,TCP,146
1773499564.1142244,192.168.29.75,20.42.65.94,TCP,545
1773499564.1146111,192.168.29.75,20.42.65.94,TCP,1494
1773499564.1149573,192.168.29.75,20.42.65.94,TCP,817
1773499564.1246557,192.168.29.170,239.255.255.250,UDP,390
1773499564.1687222,192.168.29.170,239.255.255.250,UDP,392
1773499564.3468425,20.42.65.94,192.168.29.75,TCP,157
1773499564.3476946,20.42.65.94,192.168.29.75,TCP,116
1773499564.3481984,192.168.29.75,20.42.65.94,TCP,54
1773499564.3487937,192.168.29.75,20.42.65.94,TCP,85
1773499564.3513002,20.42.65.94,192.168.29.75,TCP,85
1773499564.351833,20.42.65.94,192.168.29.75,TCP,54
1773499564.3523772,20.42.65.94,192.168.29.75,TCP,54
1773499564.4025407,192.168.29.75,20.42.65.94,TCP,54
1773499564.6800272,20.42.65.94,192.168.29.75,TCP,335
1773499564.680912,20.42.65.94,192.168.29.75,TCP,54
1773499564.7282727,192.168.29.75,20.42.65.94,TCP,54
1773499564.9197931,192.168.29.170,192.168.29.255,UDP,86
1773499566.9706619,192.168.29.170,192.168.29.255,UDP,86
1773499568.123574,192.168.29.75,20.42.65.94,TCP,54
1773499568.3616624,20.42.65.94,192.168.29.75,TCP,54
1773499568.3619711,192.168.29.75,20.42.65.94,TCP,54
1773499569.0228374,192.168.29.170,192.168.29.255,UDP,86
1773499571.075899,192.168.29.170,192.168.29.255,UDP,86
1773499573.1162975,192.168.29.170,192.168.29.255,UDP,86
1773499575.1655662,192.168.29.170,192.168.29.255,UDP,86
1773499577.2152262,192.168.29.170,192.168.29.255,UDP,86
1773499578.7903507,192.168.29.170,224.0.0.251,UDP,506
1773499579.277369,192.168.29.170,192.168.29.255,UDP,86
1773499580.2775738,192.168.29.75,20.190.146.32,TCP,66
1773499580.3035688,20.190.146.32,192.168.29.75,TCP,66
1773499580.3040414,192.168.29.75,20.190.146.32,TCP,54
1773499580.304253,192.168.29.75,20.190.146.32,TCP,283
1773499580.329164,20.190.146.32,192.168.29.75,TCP,1514
1773499580.3299665,20.190.146.32,192.168.29.75,TCP,1514
1773499580.3304005,20.190.146.32,192.168.29.75,TCP,1089
1773499580.3306136,192.168.29.75,20.190.146.32,TCP,54
1773499580.3355453,192.168.29.75,20.190.146.32,TCP,212
1773499580.3634248,20.190.146.32,192.168.29.75,TCP,105
1773499580.3641186,192.168.29.75,20.190.146.32,TCP,346
1773499580.3644753,192.168.29.75,20.190.146.32,TCP,1494
1773499580.364824,192.168.29.75,20.190.146.32,TCP,1494
1773499580.3651216,192.168.29.75,20.190.146.32,TCP,1494
1773499580.3654113,192.168.29.75,20.190.146.32,TCP,1494
1773499580.365728,192.168.29.75,20.190.146.32,TCP,848
1773499580.389645,20.190.146.32,192.168.29.75,TCP,54
1773499580.389899,20.190.146.32,192.168.29.75,TCP,54
1773499580.6035318,20.190.146.32,192.168.29.75,TCP,5894
1773499580.6041532,192.168.29.75,20.190.146.32,TCP,54
1773499580.6050208,20.190.146.32,192.168.29.75,TCP,1027
1773499580.6520076,192.168.29.75,20.190.146.32,TCP,54
1773499581.3147392,192.168.29.170,192.168.29.255,UDP,86
1773499583.3523827,192.168.29.170,192.168.29.255,UDP,86
1773499585.398617,192.168.29.170,192.168.29.255,UDP,86
1773499587.4397929,192.168.29.170,192.168.29.255,UDP,86
1773499588.04113,192.168.29.75,51.11.192.49,TCP,66
1773499588.2927527,192.168.29.75,51.11.192.49,TCP,66
1773499588.3878028,192.168.29.75,192.168.29.1,UDP,92
1773499588.3882978,192.168.29.75,192.168.29.1,UDP,92
1773499588.423975,51.11.192.49,192.168.29.75,TCP,66
1773499588.4249249,192.168.29.75,51.11.192.49,TCP,54
1773499588.4254754,192.168.29.75,51.11.192.49,TCP,1494
1773499588.425925,192.168.29.75,51.11.192.49,TCP,515
1773499588.4262476,192.168.29.75,51.11.192.49,TCP,66
1773499588.454667,192.168.29.1,192.168.29.75,UDP,212
1773499588.5202847,192.168.29.1,192.168.29.75,UDP,276
1773499588.5209813,51.11.192.49,192.168.29.75,TCP,66
1773499588.5215852,192.168.29.75,51.11.192.49,TCP,54
1773499588.5225296,192.168.29.75,51.11.192.49,TCP,1494
1773499588.5232325,192.168.29.75,51.11.192.49,TCP,451
1773499588.7711184,51.11.192.49,192.168.29.75,TCP,54
1773499588.7719262,51.11.192.49,192.168.29.75,TCP,66
1773499588.7726643,51.11.192.49,192.168.29.75,TCP,153
1773499588.7730658,192.168.29.75,51.11.192.49,TCP,54
1773499588.7736714,192.168.29.75,51.11.192.49,TCP,571
1773499588.774176,192.168.29.75,51.11.192.49,TCP,801
1773499588.8188221,51.11.192.49,192.168.29.75,TCP,54
1773499588.8195052,51.11.192.49,192.168.29.75,TCP,153
